Metabolite,Infected ILO,Uninfected ILO,Aerial stem/leaf,Nonhost ILO
Cinnamtannin III,-1.467052788,0.247707105,-0.112475121,1.331820804
Cinnamtannin II,-1.433191407,0.316230146,-0.223235321,1.340196582
Procyanidin B2,-1.22423962,0.046841757,-0.3615406,1.538938464
Cinnamtannin A2,-1.206951078,0.034738137,-0.376966935,1.549179876
Procyanidin trimer C1,-1.196094627,-0.067979996,-0.307588688,1.571663311
"3,4-Dimethoxyphenyl ?-D-glucoside",-1.027859002,-0.228749611,-0.39679249,1.653401103
2-Methylcitric acid,-0.641398634,-0.53431595,-0.554937936,1.73065252
2-trans-O-Feruloylglucaric acid,-0.631239549,-0.550910682,-0.548945601,1.731095832
Procyanidin C1,-0.888179513,-0.356838835,-0.451913428,1.696931776
Gibberellin A105,-0.865136341,-0.359541029,-0.476778395,1.701455765
Oleanolic acid,-0.833578786,-0.390378452,-0.484314092,1.708271329
Ferulic acid,-0.300521577,-0.720088311,-0.687680309,1.708290197
5-Hydroxy-6-methoxycoumarin 7-glucoside,-0.629389058,-0.570478968,-0.53112335,1.730991377
Caffeic acid 3-O-glucuronide,-0.623956705,-0.549740017,-0.55763448,1.731331202
Galactaric acid,-0.617982986,-0.553051435,-0.560469337,1.731503757
3'-O-methyl-(-)-epicatechin,-0.581056712,-0.574664893,-0.576324439,1.732046044
Isolimonic acid,-0.577662184,-0.577283806,-0.577104783,1.732050773
Phenethyl 6-galloylglucoside,-1.000341927,-0.957823954,0.692131298,1.266034583
alpha-Linolenic acid,-1.023145486,-0.628859507,1.598384781,0.053620212
Apigenin 7-O-Glucoside,-0.568414525,-0.578984494,1.732021492,-0.58462247
trans-o-Coumaric acid 2-glucoside,-0.743105918,-0.501366685,1.722706431,-0.478233828
isovitexin,-0.580328905,-0.575609527,1.732047897,-0.576109466
5-O-Feruloylquinic acid,-0.283341354,-0.461373055,1.682177851,-0.935663442
Kaempferol 3-rungioside,-0.269467848,-0.456856336,1.677486245,-0.951162061
Phloretin-2'-O-glucoside,-0.256654656,-0.250022663,1.621413238,-1.114735919
naringenin-7-O-glucoside,0.339451893,-0.634560893,1.458767721,-1.163658722
2-Hydroxyhexadecanoic acid,0.507982194,0.894843059,0.287842306,-1.690667559
trans-Ferulic acid,1.072993236,0.457229551,0.091870451,-1.62209238
Daucic acid,1.224122884,-0.371420635,0.573653704,-1.426355953
L-Malic acid,1.235566218,0.327036826,-0.024479581,-1.53812346
Citric acid,1.42143579,-0.991607488,-0.88717106,0.457342758
eriodictyol-7-O-glucoside,1.605732579,-0.18426819,-0.276343189,-1.145121199
(-)-epicatechin-3'-O-glucuronide,1.661792078,-0.252939573,-0.402734383,-1.006118123
